318	0,127007
77	0,023001
890	0,439025
42	0,014001
267	0,090005
82	0,031002
111	0,042003
319	0,135008
536	0,258014
115	0,046002
158	0,042003
368	0,130007
149	0,050002
76	0,022002
425	0,211012
135	0,101006
571	0,305017
219	0,069004
88	0,033002
284	0,149008
164	0,131008
102	0,046003
1467	0,715041
789	0,303017
248	0,093006
332	0,188011
120	0,046002
29	0,010001
749	0,377022
153	0,059003
76	0,080005
487	0,243014
495	0,226013
36	0,011001
130	0,040002
86	0,025002
200	0,109006
109	0,037003
699	0,382022
271	0,163009
131	0,047003
136	0,132008
113	0,046002
611	0,242014
354	0,166010
1081	0,501029
226	0,086005
207	0,074004
137	0,050003
496	0,276016
757	0,395023
73	0,027001
74	0,031001
557	0,264015
1178	0,673038
375	0,144009
76	0,082005
314	0,111006
339	0,165010
140	0,049003
735	0,425024
693	0,265015
506	0,246014
129	0,053003
598	0,254014
92	0,039003
287	0,097005
104	0,093006
517	0,220012
592	0,265015
373	0,306017
619	0,272015
567	0,284016
203	0,062003
29	0,010001
620	0,293017
436	0,245014
219	0,073004
92	0,027002
370	0,177010
86	0,043003
129	0,071004
1231	0,568033
298	0,137008
187	0,131007
419	0,160009
94	0,043002
541	0,254015
81	0,030002
702	0,351020
172	0,061003
43	0,013000
45	0,015001
285	0,131008
351	0,203012
80	0,026001
964	0,433025
493	0,297017
601	0,249015
